	11548.A23.119.20	11548.A18.100.20	11548.A20.108.15	11548.A20.105.10	11548.A22.113.10	11548.A22.116.20	11548.A20.107.15	11548.A21.111.15	11548.A18.99.10	11548.A20.108.20	11548.A18.100.15	11548.A22.114.10	11548.A23.120.5	11548.A23.119.15	11548.A21.111.20	11548.A18.98.5	11548.A20.107.20	11548.A18.99.5	11548.A19.102.10	11548.A22.116.15	11548.A23.117.20	11548.A20.106.15	11548.A19.104.10	11548.A18.97.5	11548.A18.98.10	11548.A21.110.15	11548.A19.104.5	11548.A23.118.20	11548.A19.101.20	11548.A21.109.15	11548.A18.97.10	11548.A21.112.10	11548.A19.102.5	11548.A23.120.10	11548.A21.110.20	11548.A20.106.20	11548.A19.103.5	11548.A18.100.5	11548.A19.103.10	11548.A23.117.15	11548.A21.109.20	11548.A19.101.5	11548.A19.101.15	11548.A22.115.10	11548.A23.118.15	11548.A18.99.20	11548.A19.102.15	11548.A22.116.10	11548.A20.105.5	11548.A22.113.20	11548.A20.105.20	11548.A20.106.5	11548.A23.119.5	11548.A18.100.10	11548.A22.114.15	11548.A20.107.5	11548.A23.119.10	11548.A23.118.5	11548.A20.107.10	11548.A18.99.15	11548.A21.111.10	11548.A22.114.20	11548.A20.108.10	11548.A20.105.15	11548.A22.113.15	11548.A21.112.20	11548.A18.97.20	11548.A19.101.10	11548.A22.115.15	11548.A23.118.10	11548.A18.98.20	11548.A23.120.15	11548.A19.104.20	11548.A23.117.10	11548.A22.113.5	11548.A22.115.20	11548.A21.111.5	11548.A20.108.5	11548.A22.114.5	11548.A23.117.5	11548.A21.109.10	11548.A18.97.15	11548.A21.110.5	11548.A22.115.5	11548.A21.112.15	11548.A21.109.5	11548.A22.116.5	11548.A19.104.15	11548.A20.106.10	11548.A21.112.5	11548.A23.120.20	11548.A21.110.10	11548.A18.98.15
11548.A23.119.20	0.0	0.35531310953287837	0.45480299876039476	0.4304908535616436	0.3472200997553239	0.3012717722478448	0.4823128570061547	0.3253580603772372	0.4012836219177653	0.4585695257385107	0.4504599992659214	0.2749364063690896	0.28739591312133833	0.1824603212795373	0.343952988097696	0.5072916171558223	0.34340415085939924	0.41659137231623294	0.37363166984788104	0.33046376730137794	0.2749747101209707	0.5186358079728332	0.4701553339707263	0.4549542367943321	0.4285264503854982	0.3969343926364827	0.5450286214650242	0.4059807977530493	0.3807440944622669	0.27682459109007707	0.4372652473455233	0.37240430250486484	0.38111327420127766	0.28578018699754065	0.40052562279622544	0.4927076192176857	0.4879561334694431	0.42710390395584213	0.3796794474774774	0.2661181558890256	0.3817136428882778	0.46357938860362385	0.45323145469667775	0.30681241449215935	0.4799694286192537	0.44380757506267265	0.48037806204334954	0.3372585371786869	0.38603867983901075	0.2537769735566871	0.5619940717192766	0.4057237294722522	0.3988703153105515	0.3907720450013532	0.3447059261747998	0.37950676120068616	0.3922392406222572	0.5266565560637064	0.38754742441742907	0.4686964714042395	0.35473354677431757	0.4615171560126152	0.39332739381810783	0.5268500365075134	0.29086696081503255	0.3250089770374119	0.44012825806022615	0.4116566179492884	0.2909102363438022	0.380947905359694	0.3478581295119597	0.3292357098624298	0.42360164615758517	0.26498054110065794	0.3370911331570987	0.35581965101833557	0.3788676299512318	0.4067391399140663	0.35198895027311466	0.44288929951338735	0.5286667566601013	0.47790015455218243	0.40306623334646813	0.38991119625897874	0.3252583285142958	0.5165236173973862	0.32302298713336935	0.4827316197360095	0.42314650386009867	0.3426662996443722	0.3238929998338063	0.3867187089186019	0.433262853850056
11548.A18.100.20	0.35531310953287837	0.0	0.3305742334134719	0.24876089632182938	0.38374811329088576	0.2860935355108429	0.2791911841529106	0.3323609909542566	0.24401240961418239	0.22353653646277713	0.211468879997657	0.45081033494048806	0.2917601676039923	0.36460609706935393	0.30996949232608956	0.29945727955689805	0.25531003902413035	0.3324915649208371	0.2182272728105954	0.27558963508174406	0.33418646137724445	0.37678506254417615	0.2884811054641371	0.2549646992898703	0.22164363277843566	0.3361357777345903	0.3928501991656019	0.4315165335591331	0.15487625282758014	0.3542876624597678	0.22165714641896944	0.3094530844219436	0.3441493221746499	0.3393138565173929	0.28093127902754855	0.30066472659915133	0.350085292741156	0.2662105739874444	0.24962736740345154	0.3232483295781281	0.3423981758919855	0.28479411905780655	0.24549775180988637	0.3605797003928952	0.4254323909139839	0.18271170328748768	0.2820840744648727	0.2829962217526869	0.24624904534497008	0.30349055111033496	0.32352472697494894	0.2778805740572261	0.36757265213387535	0.2326199929525599	0.39530658275521613	0.2900453478408188	0.44256637721296177	0.42335518285040696	0.28927021147978244	0.23560368757817943	0.33845350143946507	0.4682075952214974	0.27219402780494606	0.33696670930188977	0.3289899597482988	0.3201080634796782	0.22943708804400081	0.2550678219435295	0.32832725071745517	0.35182717434989247	0.14947700946832376	0.2682677770884253	0.22973208433369285	0.40463507424536943	0.4032720927244653	0.39946083483376166	0.3218755176714292	0.2754699922056547	0.3350748492380265	0.32908229489892143	0.4112746355005376	0.24054992491603197	0.400767920199315	0.3616017328793325	0.30379031928357314	0.4568747910570637	0.3877521520488747	0.315801027593519	0.23618522053028818	0.38847161250397755	0.35746794397175796	0.34113320284247944	0.19609836451377313
11548.A20.108.15	0.45480299876039476	0.3305742334134719	0.0	0.3181714106769474	0.3396576087482176	0.344301700423645	0.2173851429085087	0.3371829751076165	0.305758505198162	0.2612438583718714	0.3423316602202094	0.415085423555881	0.34625890105120977	0.45303899231444267	0.34996133821846326	0.3604555334130401	0.2535235473378126	0.4372453149279822	0.31443713594146827	0.326486222225748	0.3646641275978871	0.29346559777542974	0.32021815160362493	0.36076303747063254	0.3035860901122379	0.29743709280850433	0.376437671335631	0.42601505451808064	0.33245750294746956	0.3617965530374839	0.32458683566019614	0.26899532965049516	0.3790182987971295	0.3584220956390217	0.305696964833469	0.2719271163742927	0.3813783463995015	0.3983126871884721	0.32039082048810463	0.3553143532663708	0.32155164060648456	0.3745095573982532	0.3630341756271256	0.3619170148029487	0.3843474505624053	0.32568268645120624	0.33249542172741686	0.2982156838058782	0.32031208101166647	0.37520969377933266	0.3761081414364965	0.3050450111345407	0.2971219006335843	0.31223192945452266	0.3690487792020789	0.2960616836733691	0.37113634249749644	0.3866384217030701	0.2536120558138348	0.3456699467508432	0.3143122040089203	0.3989696615836024	0.2547244710156593	0.31043165285419083	0.40531654381143695	0.3601530497640061	0.3395602089023549	0.37951079847846175	0.3589991718404555	0.3442989399221749	0.327027481182928	0.32822948631173093	0.32261391524473454	0.40312788860524557	0.4090399099577854	0.3612211610593989	0.35911931230874305	0.2868609469278391	0.31603611905371015	0.3513421863923883	0.3581266946598109	0.3510941523713088	0.3969898510200497	0.33200822641491495	0.3399610463466445	0.38011532053009	0.4010576263632652	0.32864351500025185	0.3121233565910698	0.40956264387115876	0.41689919227094	0.3386968261399024	0.3158713103119219
11548.A20.105.10	0.4304908535616436	0.24876089632182938	0.3181714106769474	0.0	0.4144764075507788	0.3619722939906715	0.30425699688475216	0.3569623155151398	0.3049501511202223	0.2840874471486132	0.26916410756509546	0.43736362206434604	0.30267634059921056	0.42997624614881097	0.35028330233127175	0.3346518866734698	0.31865464355747664	0.39980340078365884	0.26786684343996114	0.31892179418715794	0.41266841725412107	0.26796386555336166	0.2056759937589095	0.282963181830824	0.2735446891386071	0.3701004843714694	0.3859206684435217	0.5083864135598939	0.2402898413241095	0.39824381935578335	0.2580457208847054	0.31994898282054585	0.34458648070640885	0.40167072538259074	0.3154912543926002	0.27512251449504455	0.35838717746023374	0.3342414578782053	0.20031794518876136	0.3308225927101024	0.4063592717992233	0.34840279452652895	0.28997450674836395	0.38928754684175754	0.4831090868326481	0.2583272790261791	0.3291774515615441	0.3200159373401125	0.26383291444484686	0.3969400591362479	0.2865773725873605	0.30378723927819784	0.4003911749625734	0.2039823882452554	0.44545052018381287	0.3223742776566535	0.5104024668129438	0.46625116408182576	0.23692689707028947	0.21621361735931996	0.3220836148673778	0.5399187353343678	0.265698823162075	0.3052551543519045	0.3347402449049978	0.34549443298919275	0.194723989891136	0.2607184923729829	0.38860611004772455	0.3768625679323082	0.2637870381679264	0.36043041488677036	0.23725077986596693	0.4242592618266402	0.44766765737335273	0.4680536083134065	0.30422528271933763	0.2749720945158586	0.36589366319609284	0.3662658761889847	0.417572959222461	0.23855913751716215	0.412204451118555	0.42749573272686026	0.3433235586560974	0.47684326142849315	0.4495275013213069	0.3148685279385927	0.1600042227691719	0.3956897979029634	0.46008584596874347	0.30607292572564737	0.24952076124147232
11548.A22.113.10	0.3472200997553239	0.38374811329088576	0.3396576087482176	0.4144764075507788	0.0	0.26757563648469784	0.3160003400502163	0.2697107465537948	0.363325055287867	0.37992868380104394	0.4115161813997297	0.3154984376390116	0.32777820138572505	0.32046193486527635	0.30296608576511935	0.45911168648294554	0.28187669102029705	0.38115497725042496	0.3429702411395185	0.3027592464700477	0.31694420235367793	0.4518019598777855	0.42859748382412394	0.4311002708562978	0.38015758526953464	0.289784763324502	0.4621738334028415	0.37555969709117043	0.4147585305604969	0.2585823121307563	0.4045133000830477	0.2754233065311425	0.40705459744519873	0.22389197388096682	0.337983293912818	0.4197266103825479	0.40249966748209326	0.38199769702120623	0.38664612938486254	0.30804371646287304	0.28272187784958847	0.39657170573935296	0.41940174329080265	0.2220058565872398	0.3688458319413156	0.436242190141612	0.42424810095314325	0.2549673642532313	0.34669799006674384	0.275906983902535	0.5255916807396996	0.3410535783809878	0.2702580345676245	0.3935701450784044	0.2875280541867062	0.32992633052499043	0.258950927288742	0.38756856026515535	0.3197946836921325	0.4429526966983705	0.29594099754841907	0.3374621441869926	0.28815148964663	0.44665021074821704	0.30482346733449356	0.31809191682769483	0.47356506849343927	0.43293004732184864	0.259991072339716	0.29159601768152643	0.3811368937881478	0.29959930555123493	0.40340263433808654	0.2919989497921195	0.26318809556059886	0.2831792382406963	0.3553636103489762	0.3724501097773046	0.30726129523136925	0.32803741174699474	0.36480218297688793	0.45204974252229047	0.32860772975794006	0.24264302818783504	0.2701187939784729	0.33876203827412904	0.2537642579416481	0.40740462058623594	0.3976237733978688	0.30759960304935324	0.2896083091689861	0.3502105946089178	0.40079885000262666
11548.A22.116.20	0.3012717722478448	0.2860935355108429	0.344301700423645	0.3619722939906715	0.26757563648469784	0.0	0.3424273394791907	0.2542341833247208	0.3609608436617883	0.3188495014168185	0.38914436094054444	0.3106127560038401	0.249482632650159	0.27383809935166087	0.26661791519530775	0.4432872807606073	0.25244579832962827	0.3625060340093303	0.3434365908851754	0.18481038352446183	0.25228213042321784	0.40831191223879026	0.4001634223518106	0.38551432151533843	0.3766280942261984	0.28936818541044257	0.4580508508698219	0.3934925420580815	0.31400086607545613	0.2401068053906087	0.38469185748224866	0.2640205712389026	0.4048047639418674	0.22999304632896564	0.31414895503328416	0.3656384192855357	0.3978896877456178	0.373749194770644	0.3128876352793478	0.24449170577273438	0.2624219855866565	0.40510030573754596	0.39538998033232464	0.24996071141882098	0.3888847996022845	0.3500227142155311	0.4369539099606067	0.1946313215164514	0.2959771955393323	0.2347845396833743	0.45776228543747477	0.2894819161976683	0.3125207604848095	0.34675721023384326	0.32486621596883053	0.289421415171931	0.3579470139182468	0.39653206923360124	0.3124015754329242	0.4050620685358358	0.2634924916366911	0.3897359873266574	0.2877573780841172	0.4213171605654679	0.23234076979727597	0.2838202220553429	0.38091563700087033	0.38002160266575963	0.23307763322625755	0.2933920340153832	0.307397145410515	0.2195912129415192	0.3558755782544258	0.2873879140636726	0.31350014716881974	0.3020378697170583	0.33155357692259874	0.31640281519988955	0.27472581424241405	0.30453606629898133	0.38679069986560716	0.4014532076590199	0.34806720596942653	0.24369918519010228	0.25107067995419713	0.3790011250910161	0.2716672333065905	0.40487221472950574	0.3338884977493745	0.31281946141710815	0.3147362535694408	0.32928014291690305	0.37805061222369873
11548.A20.107.15	0.4823128570061547	0.2791911841529106	0.2173851429085087	0.30425699688475216	0.3160003400502163	0.3424273394791907	0.0	0.3427989647009078	0.26628746701287137	0.20547475767571644	0.2781741784578616	0.45446190600719416	0.3552325516495029	0.4574613887137594	0.3330493294943539	0.3189566795227531	0.26124516351232313	0.4275963259474437	0.2824945988505694	0.31814597316911125	0.3901478502941393	0.2942968063566772	0.31348564139468216	0.33535889004842206	0.27131064076477684	0.28859007798945835	0.3381235439830946	0.41666217042473996	0.3054911578251466	0.3713878517576314	0.2688746260925431	0.2510078567206922	0.4107700222573996	0.3523113039265174	0.2728843382173669	0.26173075713716626	0.33162148017480625	0.3464597995430143	0.33837936304034344	0.3801420032667837	0.31790021624127607	0.3242787609410131	0.3189503966096756	0.3531870990950737	0.36345940610497457	0.2790522726712301	0.2921060285266009	0.2847264409207427	0.26484341915821935	0.3535213188201829	0.3356659860830554	0.2663461692782485	0.2972322258068525	0.2899450781266584	0.35501367353813185	0.30470069817202905	0.3635867781391587	0.3396672543825226	0.2777936282079685	0.31492631676342847	0.32135857374187415	0.3762687832548137	0.2275957843973699	0.24311323880583954	0.39309595079445925	0.3644401745714806	0.34296550590698016	0.351504785668284	0.3431697946573625	0.33110306204469886	0.28496202566012185	0.32433124563169125	0.2805183994931768	0.4268210328189899	0.3880287525265586	0.36415058167154973	0.327564242825264	0.29271165141994787	0.32499325481569763	0.3126351402998767	0.29474126571796055	0.31519745585218667	0.37063279379889247	0.3129775368425998	0.31892143837889797	0.3432148969052367	0.36884520516389535	0.26228481557764244	0.2814189830884352	0.3954057238442442	0.39097252171406127	0.32806276070593976	0.27242527561203966
11548.A21.111.15	0.3253580603772372	0.3323609909542566	0.3371829751076165	0.3569623155151398	0.2697107465537948	0.2542341833247208	0.3427989647009078	0.0	0.36317459628490817	0.3662518004292758	0.358455303724143	0.273683970098534	0.26300915026133986	0.2931359033335833	0.20607819478577402	0.4380078012720872	0.26720094699493674	0.37773209356504406	0.30759453748438337	0.24811018100122723	0.28267100503206233	0.4200992791935472	0.3714632694975533	0.41173316084611356	0.3605907372970715	0.22817975400325252	0.4358139478311332	0.4185089004664241	0.3536550824039235	0.18500928083839346	0.39282138951608114	0.2400104699392719	0.4046485542354502	0.26694042156405634	0.27061956332579984	0.3913385495645397	0.3834810236587797	0.3801621884660127	0.32858192899783617	0.22320029782260048	0.25651295406918423	0.38889411145976077	0.3731648553976625	0.2218981667285652	0.35851741888086436	0.39732786649490903	0.3832642269417705	0.2191934683634304	0.312362492092402	0.2923644485330522	0.46129503264674215	0.34156436564777803	0.29216878494975584	0.36195801009859724	0.26750990784161305	0.3158770485185488	0.3598060572666754	0.3962727009018687	0.2764557799917498	0.388109413124762	0.22526723399789156	0.3864744011055709	0.2772776474040373	0.3974464507536117	0.24994357907069464	0.21604306316811567	0.4247311453583806	0.37400850450729684	0.23548531189391908	0.30521001572713385	0.3340238935331888	0.2630810204439838	0.3427554708409107	0.26245953508332925	0.29887587159523604	0.2962329619575744	0.2736054428525784	0.3624753994083566	0.2628585535866847	0.31584007960799304	0.3621575405739835	0.4058254824847381	0.2818109024250495	0.2804325678543769	0.1895202042250159	0.34526751141680734	0.2894142698060977	0.356354652840533	0.34706157055883596	0.27261142905196273	0.32562812166482735	0.23096417802606337	0.34611853158955513
11548.A18.99.10	0.4012836219177653	0.24401240961418239	0.305758505198162	0.3049501511202223	0.363325055287867	0.3609608436617883	0.26628746701287137	0.36317459628490817	0.0	0.2919170066950089	0.2471791350929183	0.462782719947618	0.34818013106277457	0.4051774321764434	0.3420109230600607	0.2825668558453422	0.26285374661873157	0.34101193000943325	0.18190312083490304	0.33988775641473007	0.36064283363976907	0.3717739204156044	0.30286407954169836	0.28230607657241	0.19910645255958628	0.3015366705807069	0.37729824954807006	0.3659262683794807	0.2642114996194924	0.35665373985266463	0.20307870884957757	0.292572772355729	0.3335635304523907	0.31614793585838386	0.29213429237796584	0.32789493475924447	0.3269344449982721	0.26099107243825925	0.2895714337829096	0.3535056097075027	0.3281913896516802	0.261677872452596	0.2784525822600084	0.34715191824801594	0.3648098926131438	0.2549284181142799	0.2706758876421995	0.30482064189208735	0.2896974299067597	0.3586509979806657	0.38303542265177337	0.30480853749919795	0.3521874828495977	0.2248884930232455	0.3555955603581329	0.3315736008331671	0.37451488755014606	0.38935296327250574	0.2686913979195823	0.28619403556686657	0.3001461427803308	0.4287907020814267	0.24810283470221198	0.3054297463625385	0.38357815095041187	0.337610260623782	0.3115660210525307	0.28074372187028807	0.33425453385493376	0.29793139136739155	0.2181629692956659	0.2958578432467001	0.28698341757573576	0.3922742988056475	0.4212875826265977	0.38029431237533873	0.33376161147892053	0.32796667808944335	0.3536097154892763	0.3243216966531624	0.3636941080612953	0.2963393458704373	0.40202426250979445	0.3439037953350291	0.31906089789972086	0.41539520677831326	0.39062865944973585	0.3033111156933482	0.28676001894323855	0.37467594361395673	0.32109626270627617	0.3701989176588475	0.23436264626949646
11548.A20.108.20	0.4585695257385107	0.22353653646277713	0.2612438583718714	0.2840874471486132	0.37992868380104394	0.3188495014168185	0.20547475767571644	0.3662518004292758	0.2919170066950089	0.0	0.2535574796212812	0.45889668825831087	0.31980086923591516	0.45616983865767446	0.33311600035303485	0.3170780979745749	0.2582417902594362	0.4192849967703837	0.28663904636922755	0.31371311019436526	0.36089301325069295	0.31179240605374237	0.30054363556227287	0.32010181698874	0.25677836151094896	0.30626207789008236	0.3953771185780445	0.4106268092389731	0.2536223546780237	0.37872667453208847	0.27101317276802367	0.2847601930298892	0.394115855339763	0.37391469296035257	0.2638717955670699	0.2593098779694374	0.3685015627671678	0.3363149591761243	0.31372703343463604	0.35534931094391303	0.3180086238815151	0.31684495960063735	0.23939434806499363	0.36618390769734516	0.38764416222891057	0.21398195258280212	0.29656077725067576	0.3081756330611096	0.2860571129732303	0.37833333052820783	0.27441383209309095	0.3102544252874653	0.3436551019977111	0.28688050905029017	0.38321059066004004	0.3147419565201634	0.42010267584749383	0.3730935885166529	0.2953336306422819	0.27537034702318314	0.3278599757138138	0.4322288399011226	0.2454665481914521	0.2988462308880578	0.3847396277213813	0.35119425692876843	0.2679972058789482	0.29461463226643125	0.3515705122055574	0.3253102190890175	0.22876503126672057	0.3066951891205051	0.23770816475093887	0.4292191301344056	0.44142930099186023	0.3847998344642334	0.33896865704924145	0.28037955271978726	0.3256196454271022	0.32567491727749365	0.3503798061041039	0.27504418733485547	0.40409398829254595	0.353923823538199	0.34721509884863205	0.4151283868976304	0.41762512694261517	0.2863021154216453	0.2650886098478868	0.4235272997357845	0.39685875656462205	0.34071629112768154	0.23354347960918784
