id	auc_ApoE	auc_LDLR	sum_auc	annot	annot2
283.2629498309951_5.430859365079369	0.9717592592592592	0.7741176470588236	1.7458769063180828	trans-Vaccenic acid	
265.25244007223137_5.432108840227089	0.9708333333333333	0.7766089965397924	1.7474423298731256	cis-Vaccenic acid	
255.2317783582418_5.1814566985645945	0.9782407407407407	0.751280276816609	1.7295210175573499	cis-9-Hexadecenoic acid	
516.300422276808_3.5346080964685593	0.9625	0.8238062283737024	1.7863062283737023	Spectral Match to Taurocholic acid from NIST14	
516.3001954425159_3.6121693593314776	0.8069444444444445	0.8315570934256056	1.63850153787005	Spectral Match to Taurocholic acid from NIST14	
355.2633984884364_3.811552948402946	0.8648148148148148	0.8264359861591695	1.6912508009739842	Spectral Match to Cholic acid from NIST14	a-Muricholic acid
332.3307817246258_5.3103554720133594	0.7504629629629629	0.8710034602076124	1.6214664231705753	Spectral Match to Benzyltetradecyldimethylammonium from NIST14	
373.2738348512753_3.8372961569579247	0.7962962962962963	0.7820069204152249	1.5783032167115212	.beta.-Muricholic acid	a-Muricholic acid
423.2744890715284_4.29798541001065	0.9199074074074074	0.932318339100346	1.8522257465077534		
533.3268329649845_3.536782531194295	0.9650462962962963	0.8373702422145329	1.8024165385108293		
389.2691196723436_3.383737479270316	0.9222222222222223	0.8786159169550173	1.8008381391772397		
568.3396247335379_5.054229002624673	0.9949074074074075	0.7766089965397923	1.7715164039471998		
324.28986215556387_5.433176666666667	0.9638888888888889	0.7709342560553634	1.7348231449442522		
407.279362595115_3.601989730639734	0.8310185185185185	0.8786159169550173	1.7096344354735358		
514.283968153228_3.3051131999999996	0.8930555555555556	0.8037370242214532	1.696792579777009		
389.2690331387742_3.437795402298853	0.8712962962962962	0.8040138408304498	1.675310137126746		
506.27911240204685_3.7126306003584237	0.8231481481481482	0.846643598615917	1.6697917467640653		
407.2793260908103_3.6924033502968627	0.7620370370370371	0.8831833910034602	1.6452204280404974		
374.2771151341289_3.8368078358208924	0.7888888888888889	0.7849134948096885	1.5738023836985775		
601.5399281469334_5.45405833333333	0.7618055555555555	0.7713494809688581	1.5331550365244135		
